year;month;day;hour;day_week;date_id
2022;4;7;17;5;780
2022;4;7;18;5;781
2022;4;7;21;5;782
2022;4;8;0;6;783
2022;4;8;1;6;784
2022;4;8;2;6;785
2022;4;8;3;6;786
2022;4;8;5;6;787
2022;4;8;6;6;788
2022;4;8;7;6;789
2022;4;8;8;6;790
2022;4;8;9;6;791
2022;4;8;10;6;792
2022;4;8;11;6;793
2022;4;8;12;6;794
2022;4;8;14;6;795
2022;4;8;15;6;796
2022;4;8;16;6;797
2022;4;8;17;6;798
2022;4;8;18;6;799
2022;4;8;19;6;800
2022;4;9;5;7;801
2022;4;9;12;7;802
2022;4;10;19;1;803
2022;4;11;3;2;804
2022;4;11;4;2;805
2022;4;11;6;2;806
2022;4;11;7;2;807
2022;4;11;8;2;808
2022;4;11;9;2;809
2022;4;11;10;2;810
2022;4;11;11;2;811
2022;4;11;12;2;812
2022;4;11;13;2;813
2022;4;11;14;2;814
2022;4;11;15;2;815
2022;4;11;16;2;816
2022;4;11;20;2;817
2022;4;11;21;2;818
2022;4;12;5;3;819
2022;4;12;6;3;820
2022;4;12;7;3;821
2022;4;12;8;3;822
2022;4;12;9;3;823
2022;4;12;10;3;824
2022;4;12;11;3;825
2022;4;12;12;3;826
2022;4;12;13;3;827
2022;4;12;14;3;828
2022;4;12;15;3;829
2022;4;12;16;3;830
2022;4;12;18;3;831
2022;4;12;19;3;832
2022;4;12;20;3;833
2022;4;12;21;3;834
2022;4;13;1;4;835
2022;4;13;3;4;836
2022;4;13;4;4;837
2022;4;13;5;4;838
2022;4;13;6;4;839
2022;4;13;7;4;840
2022;4;13;8;4;841
2022;4;13;9;4;842
2022;4;13;10;4;843
2022;4;13;11;4;844
2022;4;13;12;4;845
2022;4;13;13;4;846
2022;4;13;14;4;847
2022;4;13;15;4;848
2022;4;13;16;4;849
2022;4;13;17;4;850
2022;4;13;18;4;851
2022;4;13;19;4;852
2022;4;14;5;5;853
2022;4;14;6;5;854
2022;4;14;7;5;855
2022;4;14;8;5;856
2022;4;14;9;5;857
2022;4;14;10;5;858
2022;4;14;11;5;859
2022;4;14;12;5;860
2022;4;14;13;5;861
2022;4;14;14;5;862
2022;4;14;17;5;863
2022;4;14;18;5;864
2022;4;14;19;5;865
2022;4;14;23;5;866
2022;4;15;1;6;867
2022;4;15;6;6;868
2022;4;15;8;6;869
2022;4;15;10;6;870
2022;4;15;12;6;871
2022;4;15;13;6;872
2022;4;15;15;6;873
2022;4;17;16;1;874
2022;4;18;0;2;875
2022;4;18;1;2;876
2022;4;18;4;2;877
2022;4;18;5;2;878
2022;4;18;6;2;879
2022;4;18;7;2;880
2022;4;18;8;2;881
2022;4;18;9;2;882
2022;4;18;11;2;883
2022;4;18;15;2;884
2022;4;18;18;2;885
2022;4;18;23;2;886
2022;4;19;3;3;887
2022;4;19;5;3;888
2022;4;19;7;3;889
2022;4;19;8;3;890
2022;4;19;9;3;891
2022;4;19;10;3;892
2022;4;19;11;3;893
2022;4;19;12;3;894
2022;4;19;14;3;895
2022;4;19;15;3;896
